index,소방서,2023,행정구
0,종로소방서,18363,종로구
1,중부소방서,19256,중구
2,광진소방서,19387,광진구
3,용산소방서,17007,동대문구
4,동대문소방서,23951,용산구
5,영등포소방서,29115,영등포구
6,성북소방서,21602,성북구
7,은평소방서,25613,은평구
8,강남소방서,36950,강남구
9,서초소방서,29554,서초구
10,강서소방서,28855,강서구
11,강동소방서,27298,강동구
12,마포소방서,31187,마포구
13,도봉소방서,19852,도봉구
14,구로소방서,30238,구로구
15,노원소방서,27780,노원구
16,관악소방서,29084,관악구
17,송파소방서,32155,송파구
18,양천소방서,26401,양천구
19,중랑소방서,24264,중랑구
20,동작소방서,18270,동작구
21,서대문소방서,21622,서대문구
22,강북소방서,23890,강북구
23,성동소방서,15970,성동구
24,금천소방서,14146,금천구
25,소방항공대,180,강서구
