,행정구,한국계 중국인 남자,한국계 중국인 여자,중국 남자,중국 여자,미국 남자,미국 여자,타이완 남자,타이완 여자,일본 남자,일본 여자,베트남 남자,베트남 여자,몽골 남자,몽골 여자,필리핀 남자,필리핀 여자,캐나다 남자,캐나다 여자,인도 남자,인도 여자,우즈베키스탄 남자,우즈베키스탄 여자,영국 남자,영국 여자,프랑스 남자,프랑스 여자,타이 남자,타이 여자,러시아(연방) 남자,러시아(연방) 여자,독일 남자,독일 여자,오스트레일리아 남자,오스트레일리아 여자,네팔 남자,네팔 여자,파키스탄 남자,파키스탄 여자,인도네시아 남자,인도네시아 여자,나이지리아 남자,나이지리아 여자,말레이시아 남자,말레이시아 여자,방글라데시 남자,방글라데시 여자,캄보디아 남자,캄보디아 여자,사우디아라비아 남자,사우디아라비아 여자,홍콩 남자,홍콩 여자,뉴질랜드 남자,뉴질랜드 여자,카자흐스탄 남자,카자흐스탄 여자,스리랑카 남자,스리랑카 여자,남아프리카공화국 남자,남아프리카공화국 여자,미얀마 남자,미얀마 여자,싱가포르 남자,싱가포르 여자,이란 남자,이란 여자,브라질 남자,브라질 여자,아일랜드 남자,아일랜드 여자,스웨덴 남자,스웨덴 여자,이탈리아 남자,이탈리아 여자,튀르키예 남자,튀르키예 여자,네덜란드 남자,네덜란드 여자,키르기스스탄 남자,키르기스스탄 여자,멕시코 남자,멕시코 여자,스페인 남자,스페인 여자,우크라이나 남자,우크라이나 여자,스위스 남자,스위스 여자,핀란드 남자,핀란드 여자,가나 남자,가나 여자,벨기에 남자,벨기에 여자,폴란드 남자,폴란드 여자,이집트 남자,이집트 여자,오스트리아 남자,오스트리아 여자,수단 남자,수단 여자,아르헨티나 남자,아르헨티나 여자,오만 남자,오만 여자,이스라엘 남자,이스라엘 여자,페루 남자,페루 여자,덴마크 남자,덴마크 여자,모로코 남자,모로코 여자,이라크 남자,이라크 여자,기타 남자,기타 여자
10,노원구,187,215,345,483,101,104,30,43,18,219,477,690,164,184,17,70,27,12,49,35,55,27,19,13,8,8,79,39,16,67,8,3,11,1,22,15,17,25,15,14,10,1,5,7,11,9,20,15,6,-,2,12,3,1,4,17,1,2,7,6,39,107,-,2,7,23,1,4,3,-,1,-,4,1,5,6,-,-,10,9,3,5,5,3,2,7,-,1,1,2,6,-,1,3,1,2,5,5,-,-,-,-,-,-,-,-,1,-,2,3,1,-,1,3,2,2,40,34
11,은평구,393,423,238,480,91,73,239,248,73,291,119,373,27,45,27,81,21,15,35,21,22,34,33,12,17,24,18,57,11,43,12,7,11,5,8,3,9,2,9,17,4,1,12,21,7,1,18,18,7,3,12,36,4,2,4,7,1,1,10,10,15,8,4,3,5,1,2,4,6,1,3,1,4,2,1,5,9,3,2,5,4,2,6,4,1,6,4,2,1,1,1,1,2,1,-,3,7,5,-,1,-,-,1,-,-,-,-,-,-,-,2,2,-,7,-,1,36,26
12,서대문구,238,315,1225,3356,327,429,882,966,86,735,414,1137,50,111,25,115,61,61,87,108,41,32,94,96,130,230,14,180,23,103,49,131,28,51,22,16,26,12,23,142,3,4,13,83,7,10,16,29,4,8,39,166,9,6,20,70,5,6,13,9,34,98,13,36,15,33,8,29,6,6,6,23,18,48,10,25,18,35,4,25,10,37,32,48,4,14,9,19,5,16,9,1,9,24,7,16,5,10,3,8,3,6,3,6,-,-,2,5,3,7,7,16,4,22,-,3,111,273
13,마포구,353,358,973,2276,491,739,491,619,386,755,183,476,28,50,26,76,62,41,76,76,19,18,86,68,151,258,33,161,39,140,70,102,26,32,22,15,13,12,23,92,2,1,14,52,9,10,11,23,47,49,31,150,16,8,9,36,8,4,12,14,8,24,15,39,12,13,10,26,13,9,10,31,20,50,14,16,28,45,-,12,18,17,30,47,7,10,8,12,5,4,3,-,11,18,7,20,16,5,3,10,1,-,-,2,-,1,1,-,3,5,7,8,13,14,-,2,74,184
14,양천구,616,577,173,356,69,91,83,70,17,131,72,207,35,51,22,91,20,16,7,7,15,18,18,26,15,5,4,36,18,21,2,4,10,7,4,3,11,4,14,9,1,2,2,4,3,-,7,20,-,-,3,13,2,4,12,17,-,-,4,9,5,10,2,3,1,2,2,1,7,4,3,3,2,1,2,2,2,1,-,5,1,2,1,2,-,2,-,-,-,-,1,-,1,1,-,3,5,3,1,2,-,-,-,-,-,-,-,2,2,3,-,1,3,5,-,-,16,17
15,강서구,860,859,329,683,89,112,119,150,53,321,148,314,23,67,24,109,43,14,42,12,41,31,33,29,20,12,108,85,37,78,14,8,26,6,9,6,17,11,13,22,7,4,25,8,8,4,51,29,-,1,10,25,12,2,6,16,6,2,6,5,105,36,2,2,5,1,13,7,5,6,2,-,16,2,8,10,4,1,1,4,8,1,12,-,2,7,5,2,2,-,9,3,6,2,3,3,23,-,5,2,-,-,2,-,-,-,-,-,-,1,1,2,4,10,-,1,48,41
16,구로구,9318,6386,2061,3076,41,62,61,87,33,183,175,287,33,54,45,81,17,7,27,15,28,22,12,14,13,30,6,70,12,34,5,7,11,3,13,7,25,7,12,21,3,1,23,23,21,2,15,19,1,-,2,20,5,2,21,22,13,2,2,1,87,45,2,4,3,-,2,1,2,3,3,3,3,3,4,10,-,-,2,9,-,7,3,2,1,1,1,-,-,-,1,-,1,1,1,4,3,2,-,1,-,-,-,4,-,-,1,-,-,-,-,-,2,2,2,1,29,31
17,금천구,5371,3872,1045,1573,24,29,36,53,17,123,146,292,53,64,56,69,7,6,15,5,20,20,4,6,11,16,18,51,10,19,1,3,3,1,19,9,22,2,12,15,1,1,1,2,10,2,44,24,-,-,-,11,2,-,5,8,20,2,-,-,83,9,-,2,1,8,3,5,1,1,-,1,2,3,-,5,1,3,3,9,1,1,3,3,1,10,-,-,-,-,1,-,-,-,1,1,1,3,-,1,-,-,-,-,-,-,1,2,1,2,-,1,3,5,-,-,14,18
18,영등포구,8415,6600,1989,2871,122,119,169,172,39,258,125,266,27,52,23,51,33,20,39,12,28,20,23,28,44,23,50,47,18,62,14,13,18,5,78,18,21,3,116,128,1,-,22,20,11,-,30,7,2,1,14,48,5,1,5,12,12,3,7,1,39,25,5,8,5,2,6,11,7,5,2,3,8,10,18,8,4,5,6,4,3,3,8,8,-,8,5,4,2,3,1,-,3,5,-,4,6,-,1,-,-,-,1,-,-,-,2,2,-,-,2,-,4,6,-,-,44,37
19,동작구,1529,1426,1185,2082,120,109,44,140,32,312,488,1136,51,99,13,48,24,14,43,33,83,34,25,21,69,66,29,56,21,87,26,50,7,7,12,19,38,22,15,40,7,5,3,14,27,2,12,10,-,1,5,27,9,-,5,18,11,5,2,3,10,41,3,5,7,7,3,5,3,1,5,5,8,12,3,7,10,11,3,7,1,5,15,12,5,13,1,5,7,6,9,-,2,3,4,11,8,10,1,3,2,-,-,3,-,-,2,1,7,9,2,5,12,10,3,1,271,160
20,관악구,2888,2679,914,1831,143,231,54,140,72,472,334,857,219,505,28,129,38,39,107,121,210,92,50,66,88,153,27,147,50,232,58,75,17,23,69,40,42,30,61,158,11,6,43,84,66,12,41,35,1,5,11,69,10,6,27,75,22,13,11,14,38,96,5,22,21,53,19,32,8,4,7,14,11,41,21,62,21,13,8,24,11,14,14,34,2,37,8,4,2,12,15,2,11,10,5,17,20,13,6,9,1,2,4,7,-,3,2,3,3,15,7,4,15,47,-,2,193,285
21,서초구,180,225,295,356,408,325,41,77,105,205,41,88,15,26,13,70,64,42,61,32,28,22,67,63,304,190,15,61,16,52,32,27,33,15,15,3,6,2,11,20,3,2,14,15,2,2,7,3,20,8,4,20,7,6,15,15,3,1,4,11,8,8,10,9,4,7,8,4,8,2,17,7,20,33,16,23,14,9,-,3,3,8,14,16,4,9,1,1,1,2,-,-,14,12,8,5,8,5,3,2,-,-,4,1,3,3,5,7,1,2,6,10,1,6,-,1,77,96
22,강남구,156,263,467,466,467,446,63,85,226,307,85,140,14,59,23,51,89,82,56,31,45,21,57,79,75,72,73,84,49,130,28,44,36,13,13,3,22,2,11,40,-,-,9,9,8,3,28,3,10,4,16,28,3,7,19,27,4,1,22,32,23,22,19,16,6,12,19,22,9,14,13,7,13,15,25,26,7,9,1,4,3,5,18,10,6,43,4,3,2,2,-,-,13,3,2,9,3,1,4,6,-,-,1,6,-,1,3,1,1,2,5,3,3,11,-,-,75,97
23,송파구,978,966,357,597,240,318,45,97,108,224,94,223,41,57,27,68,48,46,87,61,46,19,65,54,39,24,45,68,21,39,23,16,18,13,20,-,2,1,1,24,1,-,5,11,4,1,21,12,26,18,5,22,14,6,8,19,6,7,11,27,32,8,9,17,5,4,5,5,-,7,-,2,7,5,8,9,-,1,4,1,4,6,3,6,7,23,4,2,3,1,-,-,3,4,2,2,4,3,-,3,-,-,1,3,1,-,-,1,-,4,-,2,6,4,1,-,53,42
24,강동구,688,652,188,422,79,130,26,51,32,176,118,269,97,120,21,74,17,15,22,11,96,35,20,24,11,8,33,52,24,32,6,10,13,8,15,3,21,5,8,5,-,-,5,7,9,3,70,12,2,8,4,12,2,3,10,11,14,1,10,12,54,6,1,2,3,1,1,2,6,3,1,3,3,4,42,7,2,1,5,7,4,3,1,8,1,5,-,-,-,-,1,-,-,-,1,2,-,2,-,-,-,-,2,2,-,-,1,-,2,1,-,-,3,4,-,-,17,22
