,자치구별,인구소계,봉사활동 등록률,이혼율,1인가구수(남자),1인가구수(여자),1인가구수(남녀총합),초등학교 학업중단율,중학교 학업중단율,고등학교 학업중단율,소계(10만명당자살률),남자(10만명당자살률),여자(10만명당자살률),등록외국인 소계,외국인 남자 총합,외국인 여자 총합,청소년비행 신고,총 범죄 발생 건수,강력범죄,인구 비율,청소년비행_비율,1인가구_비율,1인가구_비율(여성),1인가구_비율(남성),외국인비율,총범죄율,강력범죄율
0,종로구,139417,45.09,1.43,14040,15294,29334,2.09,1.37,2.19,24.5,29.9,19.5,11182,4597,6585,135,9223,251,1.4853664497699453,96.8318067380592,0.6824368023599369,0.35580515631325,0.32663164604668693,8.020542688481319,98.26301502849873,2.6741859234688476
1,중구,121312,33.53,1.62,13574,14719,28293,2.64,1.73,2.7,29.4,43.3,16.3,10420,4873,5547,179,9793,238,1.292473477083079,147.55341598522818,0.6582186012534839,0.3424281480171784,0.31579045323630545,8.589422316011607,104.33586752402559,2.5356822700620945
2,용산구,213151,26.23,1.46,19436,23046,42482,4.18,1.96,1.85,21.7,28.4,15.4,14540,7842,6698,99,9042,266,2.2709378636386788,46.44594677013009,0.9883166372760224,0.5361504925065489,0.4521661447694734,6.821455212501935,96.33461800798932,2.83399783124587
3,성동구,277361,27.77,1.23,23464,24647,48111,1.91,0.85,1.67,23.1,32.7,14.0,7177,2966,4211,345,7367,128,2.9550393701961872,124.38662969920068,1.1192717324039996,0.573396736475263,0.5458749959287367,2.5876024386990237,78.48895497288845,1.363728279697261
4,광진구,335554,27.17,1.34,34355,37604,71959,1.43,1.08,1.54,27.2,39.8,15.6,15355,6167,9188,837,9688,251,3.57503499348074,249.43824242893842,1.6740802434382867,0.8748330782008272,0.7992471652374593,4.576014590796116,103.21718416958645,2.6741859234688476
5,동대문구,341149,26.51,1.22,34960,35999,70959,1.07,0.62,2.02,25.0,37.5,12.8,17875,6468,11407,342,9885,169,3.6346448350815694,100.24945111959877,1.650815881184249,0.837493776783097,0.8133221044011522,5.239646019774351,105.316047225058,1.8005474942877897
6,중랑구,382155,28.52,1.57,32454,34452,66906,0.59,0.26,1.57,27.3,36.9,18.0,5143,2030,3113,705,9536,179,4.071527974435209,184.48011932331124,1.556525420968635,0.801503808376101,0.755021612592534,1.3457890123117584,101.59775683744594,1.907088766139138
7,성북구,425602,25.13,1.23,30867,38281,69148,1.12,0.94,1.77,22.3,28.4,16.7,12418,4497,7921,1126,8130,148,4.534417838247762,264.56642590965265,1.6086841211421872,0.8905830514468107,0.7181010696953765,2.917749446666134,86.61805401514633,1.5768108233999578
8,강북구,288113,21.9,1.73,24116,28543,52659,0.58,0.67,1.84,24.9,32.9,17.5,4649,1613,3036,760,8048,151,3.069592545690757,263.78538976026766,1.2250780519353623,0.6640346918169933,0.5610433601183691,1.61360299604669,85.74441558596527,1.6087732049553625
9,도봉구,306948,26.68,1.54,18400,23125,41525,0.4,0.63,1.85,27.7,38.9,17.1,2393,823,1570,866,5533,108,3.270263031222772,282.1324784654078,0.9660526425989086,0.5379883771246179,0.4280642654742905,0.7796108787156131,58.94928571535113,1.1506457359945637
10,노원구,498213,32.2,1.35,27648,37627,65275,0.6,0.65,2.21,24.1,30.5,18.1,4434,1875,2559,1417,10144,178,5.308024667287589,284.41650458739537,1.5185812461322996,0.8753681585326701,0.6432130875996297,0.8899807913482787,108.07546616600791,1.8964346389540034
11,은평구,466770,26.64,1.48,29345,39505,68850,0.69,0.67,2.09,23.1,32.6,14.4,4057,1608,2449,1634,9905,170,4.973026946205394,350.0653426741222,1.601751341190484,0.9190586308457526,0.6826927103447313,0.8691646849626155,105.52912976876068,1.8112016214729245
12,서대문구,306231,30.97,1.22,24297,31873,56170,1.54,1.08,1.47,22.1,29.8,15.1,13938,4332,9606,456,6816,165,3.2626240220310305,148.90719750776375,1.306759227809288,0.7415050181229381,0.5652542096863499,4.551466050138621,72.61853089387914,1.7579309855472502
13,마포구,363697,27.68,1.18,31196,40916,72112,1.83,1.04,2.62,21.6,23.7,19.8,11382,4047,7335,1158,12342,471,3.87487409485199,318.3969073157051,1.6776396908631543,0.9518846459861997,0.7257550448769549,3.12952815118079,131.49323771893432,5.018093904198515
14,양천구,436028,32.76,1.29,21436,25670,47106,1.3,1.06,1.71,22.3,29.6,15.2,3190,1316,1874,1023,8529,123,4.645497768279978,234.61796031447523,1.0958910483386919,0.5971961790611433,0.4986948692775485,0.7316043923784712,90.86905076201514,1.3104576437715865
15,강서구,563058,34.73,1.47,47105,57404,104509,0.86,0.8,2.43,21.1,25.9,16.7,5639,2470,3169,1225,12954,315,5.998891544607659,217.5619563171112,2.431335234807208,1.3354674508307705,1.0958677839764377,1.0014954054466858,138.01356355623685,3.3560500633174777
16,구로구,392405,23.48,1.47,29957,31361,61318,0.65,0.62,1.57,21.9,30.7,13.5,22886,12207,10679,729,10410,221,4.180732778082841,185.77744931894344,1.4265241646930733,0.729593664648871,0.6969305000442022,5.832239650361234,110.9094639972538,2.354562107914802
17,금천구,227481,25.07,1.64,27499,24534,52033,0.6,0.39,1.64,27.3,42.9,11.5,13465,7094,6371,459,7447,140,2.4236115062016608,201.77509330449578,1.2105145611643349,0.5707678635405568,0.6397466976237781,5.9191756674183775,79.34128514769922,1.4915778059188791
18,영등포구,374794,27.25,1.18,38146,39749,77895,1.48,1.05,1.83,18.3,27.4,9.5,22704,11682,11022,713,13905,338,3.993102944225431,190.2378373186337,1.8121774977782537,0.9247351352357378,0.8874423625425155,6.057727711756325,148.1456385093001,3.6010949885755794
