,자치구별,2023 실업률
0,종로구,3.4
1,중구,3.0999999999999996
2,용산구,3.5
3,성동구,3.1
4,광진구,3.6999999999999997
5,동대문구,3.9000000000000004
6,중랑구,3.3
7,성북구,3.3499999999999996
8,강북구,3.8
9,도봉구,3.8499999999999996
10,노원구,3.45
11,은평구,4.15
12,서대문구,3.85
13,마포구,4.15
14,양천구,3.0
15,강서구,2.9000000000000004
16,구로구,3.4000000000000004
17,금천구,3.7
18,영등포구,2.85
19,동작구,4.55
20,관악구,4.949999999999999
21,서초구,2.6
22,강남구,3.4
23,송파구,3.5
24,강동구,2.7
