,자치구별,인구소계,봉사활동 등록률,이혼율,1인가구수(남자),1인가구수(여자),1인가구수(남녀총합),초등학교 학업중단율,중학교 학업중단율,고등학교 학업중단율,소계(10만명당자살률),남자(10만명당자살률),여자(10만명당자살률),등록외국인 소계,외국인 남자 총합,외국인 여자 총합,청소년비행 신고,총 범죄 발생 건수,강력범죄,인구 비율,청소년비행_비율,1인가구_비율,1인가구_비율(여성),1인가구_비율(남성),외국인비율,총범죄율,강력범죄율,봉사활동_역정규화
0,종로구,139417,1.0,0.5588235294117647,14040,15294,29334,0.4470899470899471,0.4763948497854078,0.5853658536585364,0.6141732283464567,29.9,19.5,11182,4597,6585,135,9223,251,0.03397741219921402,0.16595072860187657,0.00850129030150587,0.010175550364550145,0.007066601965303898,0.9276033584566361,0.15648191340485987,0.22990353697749197,0.0
1,중구,121312,0.5015092712376024,0.8382352941176474,13574,14719,28293,0.5925925925925928,0.630901287553648,1.0,1.0,43.3,16.3,10420,4873,5547,179,9793,238,0.0,0.33300728009836833,0.0,0.0,0.0,1.0,0.18065391628853736,0.2090032154340836,0.49849072876239764
2,용산구,213151,0.18671841310909887,0.6029411764705881,19436,23046,42482,1.0,0.7296137339055794,0.30894308943089444,0.39370078740157477,28.4,15.4,14540,7842,6698,99,9042,266,0.1723530272832709,0.0,0.11587397510861394,0.14735966588801586,0.08889360669659105,0.7750053359988983,0.14880624231372716,0.2540192926045015,0.8132815868909011
3,성동구,277361,0.25312634756360497,0.2647058823529411,23464,24647,48111,0.39947089947089953,0.2532188841201717,0.16260162601626016,0.503937007874016,32.7,14.0,7177,2966,4211,345,7367,128,0.29285507850180353,0.2567052170597043,0.16184300787247244,0.17569193742478945,0.14997573698896036,0.23619763964477483,0.07777447945379759,0.0321543408360129,0.746873652436395
4,광진구,335554,0.22725312634756367,0.4264705882352944,34355,37604,71959,0.27248677248677255,0.351931330472103,0.056910569105691255,0.826771653543307,39.8,15.6,15355,6167,9188,837,9688,251,0.40206510601403017,0.6685748618082252,0.3565968706105249,0.404986904509096,0.31513102025961426,0.4892465358423761,0.17620117891522843,0.22990353697749197,0.7727468736524363
5,동대문구,341149,0.1987925830099182,0.25,34960,35999,70959,0.1772486772486773,0.15450643776824033,0.44715447154471555,0.6535433070866143,37.5,12.8,17875,6468,11407,342,9885,169,0.4125651679446904,0.17720707265514077,0.3484304053833338,0.3765838465350039,0.32430547130898957,0.5737014615517515,0.18455536236800815,0.09807073954983922,0.8012074169900818
6,중랑구,382155,0.2854678740836567,0.7647058823529413,32454,34452,66906,0.05026455026455026,0.0,0.0813008130081303,0.8346456692913389,36.9,18.0,5143,2030,3113,705,9536,179,0.48952058162273343,0.4546289677647245,0.31533172181752844,0.34920719190203164,0.2863035302681063,0.0781622361197844,0.1697553114795811,0.11414790996784566,0.7145321259163433
7,성북구,425602,0.13928417421302286,0.2647058823529411,30867,38281,69148,0.19047619047619055,0.2918454935622318,0.24390243902439024,0.4409448818897639,28.4,16.7,12418,4497,7921,1126,8130,148,0.5710569874674862,0.7184010049492844,0.3336409368568909,0.4169675090252708,0.26223765619313355,0.27821273991506257,0.11013103769984309,0.06430868167202572,0.8607158257869771
8,강북구,288113,0.0,1.0000000000000002,24116,28543,52659,0.047619047619047616,0.17596566523605153,0.3008130081300815,0.6456692913385826,32.9,17.5,4649,1613,3036,760,8048,151,0.3130332136007236,0.7158285864545451,0.19898409172573742,0.2446379273731154,0.15986291398762584,0.11224472394753815,0.10665366184640176,0.06913183279742768,1.0
9,도봉구,306948,0.20612332902112973,0.720588235294118,18400,23125,41525,0.0,0.1587982832618026,0.30894308943089444,0.8661417322834648,38.9,17.1,2393,823,1570,866,5533,108,0.34838060707060464,0.7762565069123729,0.10805866788619214,0.14875769802505845,0.07318330704840467,0.006109391538935735,0.0,0.0,0.7938766709788703
