,자치구별,인구소계,봉사활동 등록률,이혼율,1인가구수(남자),1인가구수(여자),1인가구수(남녀총합),초등학교 학업중단율,중학교 학업중단율,고등학교 학업중단율,소계(10만명당자살률),남자(10만명당자살률),여자(10만명당자살률),등록외국인 소계,외국인 남자 총합,외국인 여자 총합,청소년비행 신고,총 범죄 발생 건수,봉사활동_역정규화,사회불안지수
0,종로구,139417,1.0,0.5588235294117647,14040,15294,0.008501290301505898,0.4470899470899471,0.4763948497854078,0.5853658536585364,0.6141732283464567,29.9,19.5,0.4288781535158346,4597,6585,0.023452768729641693,0.15648191340485984,0.0,0.4299161534243955
1,중구,121312,0.5015092712376024,0.8382352941176474,13574,14719,0.0,0.5925925925925928,0.630901287553648,1.0,1.0,43.3,16.3,0.39169472502805835,4873,5547,0.05211726384364822,0.1806539162885374,0.49849072876239764,0.5187704350661735
2,용산구,213151,0.18671841310909887,0.6029411764705881,19436,23046,0.11587397510861402,1.0,0.7296137339055794,0.30894308943089444,0.39370078740157477,28.4,15.4,0.5927389840433318,7842,6698,0.0,0.14880624231372713,0.8132815868909011,0.4079336401783408
3,성동구,277361,0.25312634756360497,0.2647058823529411,23464,24647,0.16184300787247252,0.39947089947089953,0.2532188841201717,0.16260162601626016,0.503937007874016,32.7,14.0,0.23344556677890008,2966,4211,0.16026058631921825,0.07777447945379756,0.746873652436395,0.2470384287822282
4,광진구,335554,0.22725312634756367,0.4264705882352944,34355,37604,0.356596870610525,0.27248677248677255,0.351931330472103,0.056910569105691255,0.826771653543307,39.8,15.6,0.6325086614941686,6167,9188,0.48078175895765474,0.17620117891522835,0.7727468736524363,0.38079125101683087
5,동대문구,341149,0.1987925830099182,0.25,34960,35999,0.34843040538333386,0.1772486772486773,0.15450643776824033,0.44715447154471555,0.6535433070866143,37.5,12.8,0.7554774801151612,6468,11407,0.15830618892508147,0.18455536236800812,0.8012074169900818,0.332801491344975
6,중랑구,382155,0.2854678740836567,0.7647058823529413,32454,34452,0.3153317218175285,0.05026455026455026,0.0,0.0813008130081303,0.8346456692913389,36.9,18.0,0.13419216317767044,2030,3113,0.39478827361563523,0.169755311479581,0.7145321259163433,0.30304522590910327
7,성북구,425602,0.13928417421302286,0.2647058823529411,30867,38281,0.33364093685689095,0.19047619047619055,0.2918454935622318,0.24390243902439024,0.4409448818897639,28.4,16.7,0.48919143122041664,4497,7921,0.6690553745928339,0.11013103769984306,0.8607158257869771,0.3173177841888525
8,강북구,288113,0.0,1.0000000000000002,24116,28543,0.19898409172573744,0.047619047619047616,0.17596566523605153,0.3008130081300815,0.6456692913385826,32.9,17.5,0.11008637095593618,1613,3036,0.43061889250814334,0.10665366184640174,1.0,0.30164100293599827
9,도봉구,306948,0.20612332902112973,0.720588235294118,18400,23125,0.10805866788619217,0.0,0.1587982832618026,0.30894308943089444,0.8661417322834648,38.9,17.1,0.0,823,1570,0.4996742671009773,0.0,0.7938766709788703,0.2868327604278579
