"지치구별(1)","지치구별(2)",현황별(1),2023,2023,2023,2023,2023,2023,2023,2023
"지치구별(1)","지치구별(2)",현황별(1),합계,합계,합계,합계,합계,합계,합계,합계
"지치구별(1)","지치구별(2)",현황별(1),소계,소계,직장(근로자),직장(근로자),공무원·교직원,공무원·교직원,지역,지역
"지치구별(1)","지치구별(2)",현황별(1),건수 (건),금액 (천원),건수 (건),금액 (천원),건수 (건),금액 (천원),건수 (건),금액 (천원)
"합계","양천구",입원,116186,236089677,70656,137683885,6929,13400728,38601,85005065
"합계","양천구",외래,8212273,305017409,5612686,202376046,531811,18973936,2067776,83667427
"합계","양천구",약국,4364268,133474506,3023195,86914715,280431,7393759,1060642,39166032
"합계","강서구",합계,16131993,863203903,11237719,558042843,715977,36742802,4178297,268418258
"합계","강서구",입원,148745,289164131,92886,174454726,6484,12387738,49375,102321667
"합계","강서구",외래,10394894,404214600,7213790,271675114,463135,17469807,2717969,115069679
"합계","강서구",약국,5588354,169825172,3931043,111913003,246358,6885257,1410953,51026911
"합계","구로구",합계,12436564,703293346,8343776,436232274,541488,29846971,3551300,237214101
"합계","구로구",입원,127241,259422393,77080,150281687,5597,11096637,44564,98044069
"합계","구로구",외래,7955799,308303783,5325601,199721613,347663,13410718,2282535,95171452
"합계","구로구",약국,4353524,135567170,2941095,86228974,188228,5339617,1224201,43998580
"합계","금천구",합계,6946108,405107137,4492066,240384363,225171,11472556,2228871,153250218
"합계","금천구",입원,75061,152045782,42754,82520798,2223,3968576,30084,65556409
"합계","금천구",외래,4406309,174093734,2846513,108985665,143998,5177235,1415798,59930834
"합계","금천구",약국,2464738,78967621,1602799,48877901,78950,2326745,782989,27762975
"합계","영등포구",합계,11285631,626326004,7606379,386724031,614751,30877035,3064501,208724938
"합계","영등포구",입원,111345,226876922,66040,129134153,5703,10609753,39602,87133016
"합계","영등포구",외래,7262066,280451502,4875658,182674370,395814,14873644,1990594,82903488
"합계","영등포구",약국,3912220,118997580,2664681,74915507,213234,5393638,1034305,38688435
"합계","동작구",합계,10871087,601975484,7314385,376556377,651905,32888832,2904797,192530275
"합계","동작구",입원,101798,213467947,62432,125014508,5374,11369588,33992,77083850
"합계","동작구",외래,7116638,276634380,4763301,180135576,428011,15799985,1925326,80698819
"합계","동작구",약국,3652651,111873157,2488652,71406293,218520,5719259,945479,34747606
"합계","관악구",합계,13193091,729802683,8626555,443942696,616123,33882648,3950413,251977338
"합계","관악구",입원,127992,254806998,74733,143525920,6141,12390901,47118,98890178
"합계","관악구",외래,8581265,338879506,5593296,215895962,404253,15730042,2583716,107253503
"합계","관악구",약국,4483834,136116178,2958526,84520815,205729,5761706,1319579,45833657
"합계","서초구",합계,11266377,586228741,7796961,369407047,720848,33622550,2748568,183199145
"합계","서초구",입원,97385,188380016,58533,106958621,5926,10183080,32926,71238314
"합계","서초구",외래,7410125,286025563,5088979,190400586,474978,17248568,1846168,78376409
"합계","서초구",약국,3758867,111823162,2649449,72047839,239944,6190902,869474,33584421
"합계","강남구",합계,14599701,761709855,9899897,472500792,965863,44236647,3733941,244972416
"합계","강남구",입원,123444,233870514,72154,130771412,7044,12511871,44246,90587231
"합계","강남구",외래,9651406,381084576,6499375,248357879,640230,23649090,2511801,109077606
"합계","강남구",약국,4824851,146754765,3328368,93371501,318589,8075686,1177894,45307578
"합계","송파구",합계,18866247,945217679,12984418,599771216,1172205,53224808,4709624,292221654
"합계","송파구",입원,147753,285458647,88354,165545268,8625,15337081,50774,104576299
"합계","송파구",외래,12274704,472323592,8396358,312881985,757704,28066659,3120642,131374948
"합계","송파구",약국,6443790,187435440,4499706,121343964,405876,9821069,1538208,56270407
"합계","강동구",합계,13676624,702610763,9315217,444285786,778448,35846538,3582959,222478439
"합계","강동구",입원,119653,225519334,73449,132265823,6244,11265187,39960,81988324
"합계","강동구",외래,8918535,340729509,6038376,223832526,508338,18127525,2371821,98769459
"합계","강동구",약국,4638436,136361919,3203392,88187437,263866,6453826,1171178,41720656
