"용산구","계","중학교",10403,3339,3102,141,96,7064
"용산구","계","고등학교",47143,23401,21533,1006,862,23742
"용산구","계","대학(4년제 미만)",18605,12732,11070,1104,558,5873
"용산구","계","대학교(4년제 이상)",81942,55409,49500,4178,1731,26533
"용산구","계","대학원석사과정",18506,14270,12644,1207,419,4236
"용산구","계","대학원박사과정",6601,5546,5020,416,110,1055
"용산구","계","안 받았음(미취학 포함)",1889,142,118,20,4,1747
"용산구","남자","계",90772,63012,58786,2573,1653,27760
"용산구","남자","초등학교",2099,566,513,17,36,1533
"용산구","남자","중학교",4687,1827,1722,48,57,2860
"용산구","남자","고등학교",22029,12582,11820,333,429,9447
"용산구","남자","대학(4년제 미만)",8030,5933,5394,296,243,2097
"용산구","남자","대학교(4년제 이상)",39996,30417,28454,1265,698,9579
"용산구","남자","대학원석사과정",9637,8183,7560,462,161,1454
"용산구","남자","대학원박사과정",3969,3455,3274,152,29,514
"용산구","남자","안 받았음(미취학 포함)",325,49,49,-,-,276
"용산구","여자","계",101598,52958,45207,5564,2187,48640
"용산구","여자","초등학교",5182,565,493,48,24,4617
"용산구","여자","중학교",5716,1512,1380,93,39,4204
"용산구","여자","고등학교",25114,10819,9713,673,433,14295
"용산구","여자","대학(4년제 미만)",10575,6799,5676,808,315,3776
"용산구","여자","대학교(4년제 이상)",41946,24992,21046,2913,1033,16954
"용산구","여자","대학원석사과정",8869,6087,5084,745,258,2782
"용산구","여자","대학원박사과정",2632,2091,1746,264,81,541
"용산구","여자","안 받았음(미취학 포함)",1564,93,69,20,4,1471
"성동구","계","계",253478,151501,133563,12319,5619,101977
"성동구","계","초등학교",13144,2409,2242,122,45,10735
"성동구","계","중학교",17644,6514,5893,283,338,11130
"성동구","계","고등학교",70350,38438,35003,1977,1458,31912
"성동구","계","대학(4년제 미만)",27052,18793,15976,2002,815,8259
"성동구","계","대학교(4년제 이상)",98352,66400,58158,5949,2293,31952
"성동구","계","대학원석사과정",19087,14528,12468,1499,561,4559
"성동구","계","대학원박사과정",5302,4221,3651,468,102,1081
"성동구","계","안 받았음(미취학 포함)",2547,198,172,19,7,2349
"성동구","남자","계",121876,82051,75379,4245,2427,39825
