,국적,성별,소계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
58,스 리 랑 카,남자,233,5,22,25,4,19,13,6,11,2,-,1,1,5,8,-,6,13,20,12,11,22,3,4,6,14
59,스 리 랑 카,여자,109,7,7,18,-,1,4,1,18,2,1,2,1,6,4,-,2,2,2,3,5,13,1,1,7,1
60,남아프리카 공화국,남자,223,2,2,65,5,2,7,2,12,3,2,7,10,13,12,4,6,2,-,7,2,11,4,22,11,10
61,남아프리카 공화국,여자,266,-,2,46,9,11,23,3,11,3,4,6,10,9,14,9,5,1,-,1,3,14,11,32,27,12
62,미  얀  마,남자,914,48,11,60,20,40,53,10,57,11,24,39,15,34,8,5,105,87,83,39,10,38,8,23,32,54
63,미  얀  마,여자,1025,23,16,76,33,103,68,7,108,19,29,107,8,98,24,10,36,45,9,25,41,96,8,22,8,6
64,싱 가 포 르,남자,164,11,11,23,5,-,9,1,11,1,2,-,4,13,15,2,2,2,-,5,3,5,10,19,9,1
65,싱 가 포 르,여자,323,18,20,32,9,13,37,3,16,5,-,2,3,36,39,3,2,4,2,8,5,22,9,16,17,2
66,이       란,남자,227,4,4,44,4,22,20,9,8,8,4,7,5,15,12,1,5,3,1,5,7,21,4,6,5,3
67,이       란,여자,289,1,4,34,4,17,32,3,19,5,3,23,1,33,13,2,1,-,8,2,7,53,7,12,4,1
68,브  라  질,남자,181,26,7,20,4,3,7,1,9,1,1,1,2,8,10,2,13,2,3,6,3,19,8,19,5,1
69,브  라  질,여자,264,29,2,23,6,13,17,7,4,4,1,4,4,29,26,1,7,1,5,11,5,32,4,22,5,2
70,아 일 랜 드,남자,142,9,4,25,-,2,1,4,9,3,1,3,6,6,13,7,5,2,1,7,3,8,8,9,-,6
71,아 일 랜 드,여자,99,5,2,10,2,5,2,1,6,-,-,-,1,6,9,4,6,3,1,5,1,4,2,14,7,3
72,스  웨  덴,남자,144,-,10,36,2,9,4,1,7,2,-,1,3,6,10,3,2,3,-,2,5,7,17,13,-,1
73,스  웨  덴,여자,199,9,17,21,8,8,21,1,9,2,-,-,1,23,31,3,-,3,1,3,5,14,7,7,2,3
