성북구,제조업,136232,132953
성북구,전기 가스 증기 및 공기조절 공급업,56898,106470
성북구,건설업,292718,236127
성북구,도매 및 소매업,574134,570809
성북구,운수 및 창고업,119667,110965
성북구,숙박 및 음식점업,222261,192274
성북구,정보통신업,174786,164912
성북구,금융 및 보험업,142383,143936
성북구,부동산업,1069052,1016533
성북구,사업서비스업,797585,672459
성북구,공공행정 국방 및 사회보장행정,209023,177414
성북구,교육서비스업,1242506,1146836
성북구,보건업 및 사회복지서비스업,651849,596384
성북구,문화 및 기타 서비스업,242736,211144
강북구,지역내총생산(시장가격),3462961,3174135
강북구,순생산물세,315027,269281
강북구,총부가가치(기초가격),3147933,2904512
강북구,농·림·어업,578,559
강북구,광업,-,-
강북구,제조업,95320,88951
강북구,전기 가스 증기 및 공기조절 공급업,38823,72620
강북구,건설업,221657,178398
강북구,도매 및 소매업,346631,344531
강북구,운수 및 창고업,125723,116752
강북구,숙박 및 음식점업,166570,144309
강북구,정보통신업,99965,91951
강북구,금융 및 보험업,226237,207678
강북구,부동산업,519309,495262
강북구,사업서비스업,222590,199049
강북구,공공행정 국방 및 사회보장행정,177067,150335
강북구,교육서비스업,290329,267291
강북구,보건업 및 사회복지서비스업,414673,379709
강북구,문화 및 기타 서비스업,202465,175394
도봉구,지역내총생산(시장가격),3490683,3212809
도봉구,순생산물세,277029,237044
도봉구,총부가가치(기초가격),3213654,2975943
도봉구,농·림·어업,982,915
도봉구,광업,-,-
도봉구,제조업,90077,84277
도봉구,전기 가스 증기 및 공기조절 공급업,39069,73076
도봉구,건설업,253502,203729
도봉구,도매 및 소매업,375126,373142
도봉구,운수 및 창고업,145716,135532
도봉구,숙박 및 음식점업,126716,109614
도봉구,정보통신업,53219,55558
도봉구,금융 및 보험업,68684,69070
도봉구,부동산업,623799,594354
도봉구,사업서비스업,292509,258025
도봉구,공공행정 국방 및 사회보장행정,253225,214049
도봉구,교육서비스업,338436,311259
도봉구,보건업 및 사회복지서비스업,351932,322960
도봉구,문화 및 기타 서비스업,200663,171623
노원구,지역내총생산(시장가격),6728358,6193137
노원구,순생산물세,524440,449499
노원구,총부가가치(기초가격),6203918,5742857
노원구,농·림·어업,1199,1129
노원구,광업,-,-
노원구,제조업,142220,136670
노원구,전기 가스 증기 및 공기조절 공급업,61910,115991
노원구,건설업,209573,169105
노원구,도매 및 소매업,570349,566577
노원구,운수 및 창고업,223299,208235
노원구,숙박 및 음식점업,245787,211967
노원구,정보통신업,107405,106768
노원구,금융 및 보험업,349313,332133
노원구,부동산업,1217510,1159828
노원구,사업서비스업,480920,410647
노원구,공공행정 국방 및 사회보장행정,216834,184009
노원구,교육서비스업,1192723,1096269
노원구,보건업 및 사회복지서비스업,937886,857431
노원구,문화 및 기타 서비스업,246989,209504
은평구,지역내총생산(시장가격),5112192,4665746
은평구,순생산물세,412175,352769
은평구,총부가가치(기초가격),4700018,4313134
은평구,농·림·어업,2191,2026
은평구,광업,-,-
은평구,제조업,79336,74650
은평구,전기 가스 증기 및 공기조절 공급업,57807,108309
은평구,건설업,429309,346746
은평구,도매 및 소매업,445171,442340
은평구,운수 및 창고업,166630,155069
은평구,숙박 및 음식점업,211824,183038
은평구,정보통신업,157786,149070
은평구,금융 및 보험업,143112,138200
은평구,부동산업,1114172,1060444
은평구,사업서비스업,293795,250468
