5대범죄,소계,아파트 연립다세대,단독주택,기타거주시설(오피스텔 원룸 기숙사 등),도로(고속자동차 보도/골목길 포함),상점/창고,공중위생업소(숙박업소 목욕탕 등),음식점·유흥업소,역 대합실,교통수단,문화/체육/오락시설,학교/도서관/학원,금융보험기관,기타
소계,86213,12656,2987,2413,16713,14246,2161,8047,1648,3125,2304,881,542,18490
살인,150,49,19,6,16,4,3,7,2,1,-,1,-,42
강도,129,13,4,10,22,17,9,7,1,5,5,-,3,33
강간강제추행,5764,602,169,352,523,209,702,1037,366,745,179,123,4,753
절도,37038,3718,913,709,5531,11983,693,2369,583,1087,1260,392,476,7324
폭력,43132,8274,1882,1336,10621,2033,754,4627,696,1287,860,365,59,10338
