접수년월,경찰서명,신고건수전체,신고성별남성,신고성별여성,신고성별불상,신고성별기타,접수긴급유형긴급,접수긴급유형중요,접수긴급유형일반,접수긴급유형민원,접수긴급유형기타,발생요일일요일,발생요일월요일,발생요일화요일,발생요일수요일,발생요일목요일,발생요일금요일,발생요일토요일,발생시간대00,발생시간대01,발생시간대02,발생시간대03,발생시간대04,발생시간대05,발생시간대06,발생시간대07,발생시간대08,발생시간대09,발생시간대10,발생시간대11,발생시간대12,발생시간대13,발생시간대14,발생시간대15,발생시간대16,발생시간대17,발생시간대18,발생시간대19,발생시간대20,발생시간대21,발생시간대22,발생시간대23
202310,서울강서,129,70,26,33,0,0,10,115,1,3,32,26,21,13,5,17,15,10,7,3,4,0,1,0,0,2,0,0,2,1,6,1,9,9,4,2,10,20,15,12,11
202310,서울서부,95,36,16,43,0,0,5,90,0,0,20,16,15,14,8,10,12,7,6,2,1,2,1,0,0,0,0,0,1,1,0,2,3,4,2,3,4,14,15,20,7
202310,서울노원,137,77,30,30,0,0,10,123,3,1,21,33,15,23,19,10,16,8,5,4,7,4,2,0,0,1,0,0,1,0,1,3,6,7,14,10,3,15,13,18,15
202310,서울강남,48,25,11,12,0,0,1,47,0,0,5,10,7,4,7,6,9,2,2,1,0,0,1,0,0,2,0,0,0,0,2,0,1,3,3,1,4,10,5,5,6
202310,서울광진,94,43,22,29,0,0,4,90,0,0,11,19,17,13,7,17,10,9,5,5,1,0,0,1,1,1,0,0,1,2,0,4,7,5,5,7,5,5,12,10,8
202310,서울중랑,67,40,10,17,0,0,4,61,1,1,9,13,8,10,6,12,9,8,6,2,1,0,0,3,1,0,0,0,0,0,2,0,1,4,4,3,7,1,6,13,5
202310,서울강동,102,56,13,33,0,0,3,95,3,1,22,16,16,9,11,19,9,7,1,6,4,2,1,0,1,0,0,1,0,0,0,4,6,10,4,5,7,14,8,9,12
202310,서울구로,88,47,20,21,0,0,3,81,3,1,17,9,12,7,14,18,11,6,4,3,1,1,1,0,0,0,0,2,1,0,3,2,2,4,7,5,5,10,14,8,9
202310,서울송파,144,69,30,45,0,0,11,130,2,1,41,21,20,10,13,12,27,9,5,2,4,2,2,0,0,0,2,1,1,1,0,2,10,10,11,6,11,16,17,19,13
202310,서울동대문,31,18,3,10,0,0,0,31,0,0,5,4,5,3,4,7,3,3,1,2,2,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,3,7,5
202310,서울종로,3,3,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
202310,서울관악,72,35,17,20,0,1,6,64,1,0,7,14,9,15,9,3,15,2,0,1,5,2,2,2,0,0,0,0,0,0,0,1,2,6,6,2,3,10,14,12,2
202310,서울서초,40,22,7,11,0,0,1,36,3,0,4,5,15,3,9,0,4,5,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,6,0,4,8,5
