,시군구명,시설코드,조성년월,설치대수,데이터 기준일자
177,종로구,305,2015,1,20221111
178,종로구,305,2015,2,20221111
179,종로구,305,2015,1,20221111
180,종로구,304,2015,1,20221111
181,종로구,305,2015,1,20221111
182,종로구,305,2015,1,20221111
183,종로구,307,2015,1,20221111
184,종로구,305,2015,1,20221111
185,종로구,305,2015,1,20221111
186,종로구,302,2015,3,20221111
187,종로구,305,2015,1,20221111
188,종로구,305,2015,1,20221111
189,종로구,305,2015,1,20221111
190,종로구,304,2015,1,20221111
191,종로구,305,2015,1,20221111
192,종로구,305,2015,1,20221111
193,종로구,307,2015,1,20221111
194,종로구,305,2015,1,20221111
195,종로구,304,2015,1,20221111
196,종로구,305,2015,1,20221111
197,종로구,301,2015,1,20221111
198,종로구,302,2015,1,20221111
199,종로구,305,2015,1,20221111
200,종로구,307,2015,1,20221111
201,종로구,305,2015,1,20221111
202,종로구,305,2015,2,20221111
203,종로구,305,2015,1,20221111
204,종로구,305,2015,1,20221111
205,종로구,302,2015,4,20221111
206,종로구,307,2015,1,20221111
207,종로구,305,2015,1,20221111
208,종로구,305,,1,20221110
209,종로구,304,,1,20221110
210,종로구,305,,1,20221110
211,종로구,305,,1,20221110
212,종로구,305,,1,20221110
213,종로구,307,,1,20221110
214,종로구,302,,1,20221110
215,종로구,301,,1,20221110
216,종로구,305,,1,20221110
217,종로구,305,,1,20221110
218,종로구,304,,1,20221110
219,종로구,302,,1,20221110
220,종로구,301,,1,20221110
221,종로구,307,,1,20221110
222,종로구,305,,1,20221110
223,종로구,305,,1,20221110
224,종로구,304,,1,20221110
225,종로구,305,,1,20221110
226,종로구,305,,1,20221110
227,종로구,307,,1,20221110
228,종로구,304,,1,20221110
229,종로구,305,,1,20221110
230,종로구,302,,1,20221110
231,종로구,305,2015,1,20221111
232,종로구,305,,1,20221110
233,종로구,305,,1,20221110
234,종로구,305,,1,20221110
235,종로구,305,,1,20221110
236,종로구,304,,1,20221110
237,종로구,307,,1,20221110
238,종로구,305,,1,20221110
239,종로구,302,,2,20221110
240,종로구,305,,1,20221110
241,종로구,302,,1,20221110
242,종로구,305,,1,20221110
243,종로구,305,,1,20221110
244,종로구,305,,1,20221110
245,종로구,305,,1,20221110
246,종로구,305,,1,20221110
247,종로구,305,,1,20221110
248,종로구,307,,1,20221110
249,종로구,304,,1,20221110
250,종로구,305,,1,20221110
251,종로구,302,,1,20221110
252,종로구,301,,1,20221110
253,종로구,305,,2,20221110
254,종로구,305,,1,20221110
255,종로구,307,,1,20221110
256,종로구,304,,1,20221110
257,종로구,305,,1,20221110
258,종로구,307,,1,20221110
259,종로구,305,,1,20221110
260,종로구,302,,1,20221110
261,종로구,301,,1,20221110
262,종로구,304,,1,20221110
263,종로구,305,,1,20221110
264,종로구,307,,1,20221110
265,종로구,305,,1,20221110
266,종로구,305,,1,20221110
267,종로구,302,,1,20221110
268,종로구,301,,1,20221110
269,종로구,305,,1,20221110
270,종로구,304,,1,20221110
271,종로구,305,,1,20221110
272,종로구,307,,1,20221110
273,종로구,305,,1,20221110
274,종로구,305,,1,20221110
275,종로구,305,,1,20221110
276,종로구,305,,1,20221110
277,종로구,305,,1,20221110
278,종로구,304,,1,20221110
279,종로구,305,,1,20221110
280,종로구,307,,1,20221110
281,종로구,302,,1,20221110
282,종로구,301,,1,20221110
283,종로구,305,,1,20221110
284,종로구,304,,1,20221110
285,종로구,305,,1,20221110
286,종로구,307,,1,20221110
287,종로구,307,2015,1,20221111
288,종로구,304,2015,1,20221111
289,종로구,305,2015,1,20221111
290,종로구,305,2015,1,20221111
291,종로구,305,2015,1,20221111
292,종로구,305,2015,1,20221111
293,종로구,305,2015,1,20221111
294,종로구,301,2015,1,20221111
295,종로구,305,2015,1,20221111
296,종로구,302,2015,3,20221111
297,종로구,305,2015,1,20221111
298,종로구,304,2015,1,20221111
299,종로구,307,2015,1,20221111
300,종로구,305,2015,1,20221111
301,종로구,305,2015,1,20221111
302,종로구,305,2015,1,20221111
303,종로구,305,2015,1,20221111
304,종로구,305,2015,1,20221111
305,종로구,305,2015,1,20221111
306,종로구,305,2015,1,20221111
307,종로구,301,2015,1,20221111
308,종로구,305,2015,2,20221111
309,종로구,302,2015,3,20221111
310,종로구,301,2015,1,20221111
311,종로구,304,2015,1,20221111
312,종로구,307,2015,1,20221111
313,종로구,305,2015,1,20221111
314,종로구,305,2015,1,20221111
315,종로구,305,,1,20221121
316,종로구,307,,1,20221121
317,종로구,302,,2,20221121
318,종로구,301,,1,20221121
319,종로구,304,,1,20221121
320,종로구,307,,1,20221121
321,종로구,305,,1,20221121
322,종로구,302,,1,20221121
323,종로구,305,,1,20221121
324,종로구,304,,1,20221121
325,종로구,305,,1,20221121
326,종로구,305,,1,20221121
327,종로구,302,,1,20221121
328,종로구,305,,1,20221121
329,종로구,305,,1,20221121
330,종로구,307,,1,20221121
331,종로구,301,,1,20221121
332,종로구,302,,2,20221121
333,종로구,305,,1,20221121
334,종로구,305,,1,20221121
335,종로구,305,,1,20221121
336,종로구,305,,1,20221121
337,종로구,304,,1,20221121
338,종로구,307,,1,20221121
339,종로구,305,,1,20221121
340,종로구,301,,1,20221121
341,종로구,302,,3,20221121
