"국세종류별(1)","시점",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"국세종류별(1)","시점",종로,중부,용산,성북,서대문,은평,마포,영등포,강서,양천,구로,동작,금천,관악,강남,서초,성동,동대문,중랑,도봉,강동,송파
"합계","2017",5659321,2860813,3442552,1009899,1471635,-,2119569,6242017,1335396,1070549,1689545,1503606,1438747,660513,4554143,6002306,2754650,949036,309658,465377,939324,1324015
"합계","2018",5817711,1928312,4489979,1515693,1057910,423092,1805758,8883370,1526630,1131111,1795570,1396163,1609423,683475,4963590,6639407,3090489,922992,454056,482519,1203357,1508269
"합계","2019",6470634,1851805,4639205,1165948,1115147,511805,2012467,9956506,1827771,1193771,1740477,1450100,1708030,677625,4845144,6833966,3193000,873990,434660,439731,1316698,1685614
"합계","2020",6254894,1416451,5652493,1178577,1127665,597981,2310693,10112760,1461504,1332163,1770986,1508106,1873110,759178,5465896,5646073,3617519,961832,448893,481143,1608368,1928479
"합계","2021",8380858,1841790,8236918,1406294,1235636,702648,2625335,12497656,2115996,1561172,1918914,1855513,1822034,841723,6472852,7119802,4334356,1112307,532155,562571,1927094,2215542
"합계","2022",7646290,1992693,9690786,1338872,1285972,745527,2348472,15085835,3003554,1630061,2380416,1819853,2133915,889713,7053611,10241029,4987636,1077848,635722,579223,2504817,2514866
"합계","2023",6697593,1642453,9190764,1174230,1253033,623874,2430816,12998902,3082684,1369175,1889543,1531440,2052301,765098,6581595,10960871,4522642,1056245,557820,528793,1847681,2229439
