"항목",2023,2023,2023,2023,2023,2023,2023,2023
"항목",합계,합계,합계,합계,합계,합계,합계,합계
"항목",소계,강력범,절도범,폭력범,지능범,풍속범,기타형사범,특별법범
"발생",277213,6264,37038,43132,84182,5100,49532,51965
"검거",198771,5850,21600,37567,42791,4107,39622,47234
