"자치구별(1)","성별(1)",2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4,2025.1/4
"자치구별(1)","성별(1)",합계,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상+
"강북구","여자",146464,377,356,422,446,427,457,476,638,680,707,724,804,830,850,899,858,933,956,1035,1245,1447,1616,1740,1881,2057,2086,2023,2048,2111,2015,2014,1880,1877,1868,1565,1460,1447,1426,1404,1414,1461,1599,1854,1844,1841,1942,1764,1840,1829,2008,2192,2486,2373,2660,2682,2668,2646,2513,2357,2483,2436,2334,2490,2572,2944,2871,2488,2390,2293,2361,2366,1888,1991,1728,1620,1784,1802,1766,1610,1244,1358,1258,1462,1279,960,894,789,624,534,435,332,248,188,152,110,111,68,61,29,17,36
"도봉구","합계",302545,990,926,1006,1153,1053,1256,1277,1476,1610,1890,1961,1824,2111,2066,2223,2072,2193,2415,2332,2258,2565,2827,2935,3268,3589,3886,3779,4115,4011,4142,4268,4160,4188,4090,3706,3486,3416,3305,3259,3522,3465,3844,4096,4329,4347,4282,3803,3960,3974,4261,4691,5018,5139,5621,5766,5509,5687,5266,5161,5224,5292,4859,5480,5443,6143,5788,5310,5291,4858,4755,4719,3620,3912,2991,2882,2946,2860,2881,2747,2051,2049,1998,2297,2104,1576,1497,1300,1029,884,715,534,446,346,250,168,155,106,74,54,23,60
"도봉구","남자",146102,506,477,500,604,554,660,672,761,815,963,1044,943,1087,1065,1152,1080,1154,1280,1191,1108,1281,1366,1361,1571,1757,1872,1868,2040,2026,2068,2206,2147,2110,2104,1918,1818,1734,1712,1637,1789,1766,2011,2093,2171,2174,2176,1886,1951,1962,2064,2329,2442,2496,2762,2759,2630,2664,2455,2507,2467,2479,2345,2639,2536,2833,2666,2458,2516,2274,2233,2236,1684,1855,1384,1349,1334,1301,1318,1215,895,870,829,974,884,653,589,475,375,294,246,163,115,104,70,42,32,23,18,14,2,14
"도봉구","여자",156443,484,449,506,549,499,596,605,715,795,927,917,881,1024,1001,1071,992,1039,1135,1141,1150,1284,1461,1574,1697,1832,2014,1911,2075,1985,2074,2062,2013,2078,1986,1788,1668,1682,1593,1622,1733,1699,1833,2003,2158,2173,2106,1917,2009,2012,2197,2362,2576,2643,2859,3007,2879,3023,2811,2654,2757,2813,2514,2841,2907,3310,3122,2852,2775,2584,2522,2483,1936,2057,1607,1533,1612,1559,1563,1532,1156,1179,1169,1323,1220,923,908,825,654,590,469,371,331,242,180,126,123,83,56,40,21,46
"노원구","합계",489831,2033,1902,1937,1999,2036,2194,2393,2707,3162,3582,3738,3746,4329,4339,4585,4321,4724,5133,5243,5419,5732,6157,6017,6585,7199,6638,6359,6384,6053,6392,6351,6323,6697,6582,5966,5945,5851,5583,5562,5647,5671,6560,7003,7410,7503,7746,6832,7368,7294,7694,8359,8953,8872,9332,9419,8906,8805,7909,7441,7498,7436,6833,7697,7714,8193,7730,7252,7161,6475,6428,6491,5024,5277,4115,3910,4081,3859,3920,3677,2637,2766,2625,3137,2648,2049,1842,1684,1499,1207,1037,835,617,499,369,289,221,151,118,77,39,92
"노원구","남자",234705,1050,1010,975,1030,1079,1131,1239,1375,1588,1834,1898,1960,2281,2233,2371,2258,2429,2740,2691,2742,2736,2988,2993,3358,3814,3490,3226,3248,3045,3223,3166,3215,3417,3282,2984,3012,2972,2878,2778,2797,2839,3162,3406,3515,3680,3639,3278,3428,3452,3602,4013,4207,4327,4381,4579,4364,4278,3714,3688,3563,3544,3225,3643,3630,3795,3514,3300,3287,2935,2857,2975,2330,2383,1852,1763,1770,1638,1674,1512,1079,1099,1042,1223,1003,770,672,554,478,387,300,226,166,125,96,64,46,30,31,15,6,15
"노원구","여자",255126,983,892,962,969,957,1063,1154,1332,1574,1748,1840,1786,2048,2106,2214,2063,2295,2393,2552,2677,2996,3169,3024,3227,3385,3148,3133,3136,3008,3169,3185,3108,3280,3300,2982,2933,2879,2705,2784,2850,2832,3398,3597,3895,3823,4107,3554,3940,3842,4092,4346,4746,4545,4951,4840,4542,4527,4195,3753,3935,3892,3608,4054,4084,4398,4216,3952,3874,3540,3571,3516,2694,2894,2263,2147,2311,2221,2246,2165,1558,1667,1583,1914,1645,1279,1170,1130,1021,820,737,609,451,374,273,225,175,121,87,62,33,77
"은평구","합계",460055,1827,1703,1831,1862,1962,2072,2182,2361,2714,2970,3084,2933,3337,3280,3468,3393,3493,3869,3743,3544,3924,4411,4511,4971,5934,6521,6505,7094,7339,7522,7716,7625,7696,7334,6714,6224,6019,5722,5714,5719,5667,6515,6839,7197,7012,7162,6233,6557,6453,6862,7443,7933,8039,8480,8358,7989,8037,7163,7127,6968,7070,6686,7140,7348,7790,7551,6839,6595,6123,6050,5994,4740,5068,3950,4007,4068,3899,4063,3788,2812,2836,2716,3181,2815,2071,1952,1709,1357,1207,973,776,549,380,304,214,176,121,101,53,35,71
"은평구","남자",217653,946,897,967,969,1020,1082,1071,1184,1392,1499,1564,1522,1688,1674,1770,1695,1804,1990,1903,1823,1926,2166,2168,2308,2716,2960,2967,3142,3267,3481,3672,3644,3759,3599,3284,3152,2952,2823,2755,2807,2803,3272,3350,3671,3464,3476,3062,3178,3201,3311,3578,3809,3965,4121,3983,3843,3896,3366,3468,3250,3340,3173,3399,3450,3578,3495,3166,3007,2791,2735,2639,2105,2224,1730,1731,1742,1689,1681,1617,1190,1166,1073,1321,1215,836,798,624,505,418,356,243,176,109,75,50,50,33,16,8,7,17
"은평구","여자",242402,881,806,864,893,942,990,1111,1177,1322,1471,1520,1411,1649,1606,1698,1698,1689,1879,1840,1721,1998,2245,2343,2663,3218,3561,3538,3952,4072,4041,4044,3981,3937,3735,3430,3072,3067,2899,2959,2912,2864,3243,3489,3526,3548,3686,3171,3379,3252,3551,3865,4124,4074,4359,4375,4146,4141,3797,3659,3718,3730,3513,3741,3898,4212,4056,3673,3588,3332,3315,3355,2635,2844,2220,2276,2326,2210,2382,2171,1622,1670,1643,1860,1600,1235,1154,1085,852,789,617,533,373,271,229,164,126,88,85,45,28,54
"서대문구","합계",301943,1351,1311,1375,1437,1459,1530,1597,1775,1972,2176,2189,2019,2113,2028,2153,2071,2116,2242,2325,2680,3157,3660,3915,4545,5157,5171,5180,5142,5270,5193,5069,4900,4936,4873,4399,4210,4080,4093,3984,4073,3981,4320,4511,4594,4512,4328,4014,4071,3931,4112,4511,4798,4956,5275,5324,5114,4949,4593,4274,4443,4482,4082,4388,4364,4716,4383,4144,3980,3607,3563,3505,2765,2935,2272,2230,2444,2269,2442,2334,1703,1783,1696,2101,1838,1351,1344,1189,945,858,703,522,366,298,208,164,138,91,65,49,21,68
"서대문구","남자",142926,703,680,730,766,697,810,841,906,971,1114,1074,1015,1055,1016,1112,1018,1062,1109,1188,1208,1327,1531,1689,1968,2305,2456,2469,2397,2517,2513,2525,2432,2545,2391,2118,2076,1983,1988,1967,2043,1979,2123,2233,2313,2265,2151,1980,1940,1897,2055,2191,2237,2375,2647,2595,2460,2375,2172,2129,2215,2113,1929,2123,2107,2149,2053,1953,1901,1629,1659,1583,1269,1336,1011,946,1024,911,1023,967,721,720,634,858,737,508,511,440,354,288,239,177,116,84,65,38,34,27,14,12,3,13
"서대문구","여자",159017,648,631,645,671,762,720,756,869,1001,1062,1115,1004,1058,1012,1041,1053,1054,1133,1137,1472,1830,2129,2226,2577,2852,2715,2711,2745,2753,2680,2544,2468,2391,2482,2281,2134,2097,2105,2017,2030,2002,2197,2278,2281,2247,2177,2034,2131,2034,2057,2320,2561,2581,2628,2729,2654,2574,2421,2145,2228,2369,2153,2265,2257,2567,2330,2191,2079,1978,1904,1922,1496,1599,1261,1284,1420,1358,1419,1367,982,1063,1062,1243,1101,843,833,749,591,570,464,345,250,214,143,126,104,64,51,37,18,55
"마포구","합계",360520,1647,1464,1648,1709,1701,1798,2007,2017,2474,2519,2497,2282,2616,2499,2571,2496,2579,2850,2637,2986,3390,3970,4093,4913,5821,6308,6483,7007,7202,7466,7371,7323,7453,7161,6364,5893,5845,5643,5589,5487,5414,5789,5903,6057,5612,5679,5050,5179,5332,5300,5638,6027,6144,6285,6157,5900,5618,5079,4595,4726,4684,4275,4635,4496,4811,4560,4070,4010,3678,3600,3516,2756,2927,2296,2222,2404,2319,2386,2267,1691,1886,1689,2017,1794,1388,1270,1096,917,828,650,536,425,333,237,176,129,103,70,35,28,47
"마포구","남자",167718,821,750,834,870,868,944,1055,990,1259,1274,1291,1116,1311,1261,1287,1261,1287,1441,1313,1385,1476,1720,1779,2071,2525,2719,2752,3001,3125,3322,3372,3491,3469,3411,3065,2837,2733,2666,2568,2638,2608,2801,2832,3007,2707,2736,2467,2395,2522,2530,2701,2891,2941,3077,2982,2936,2763,2419,2278,2318,2250,2097,2276,2163,2279,2170,1837,1827,1634,1614,1611,1167,1298,1014,917,1005,946,965,888,643,777,665,833,725,527,508,389,310,276,224,170,124,104,69,46,30,31,20,7,5,8
"마포구","여자",192802,826,714,814,839,833,854,952,1027,1215,1245,1206,1166,1305,1238,1284,1235,1292,1409,1324,1601,1914,2250,2314,2842,3296,3589,3731,4006,4077,4144,3999,3832,3984,3750,3299,3056,3112,2977,3021,2849,2806,2988,3071,3050,2905,2943,2583,2784,2810,2770,2937,3136,3203,3208,3175,2964,2855,2660,2317,2408,2434,2178,2359,2333,2532,2390,2233,2183,2044,1986,1905,1589,1629,1282,1305,1399,1373,1421,1379,1048,1109,1024,1184,1069,861,762,707,607,552,426,366,301,229,168,130,99,72,50,28,23,39
"양천구","합계",429468,1527,1403,1635,1787,1996,2201,2635,3084,3443,3839,4120,4351,5010,4839,5007,4617,4795,5148,4504,4161,4275,4235,4069,4308,4940,5215,5210,5520,5460,5711,5649,5642,5640,5658,5032,4813,4746,4746,4934,5433,5498,6317,7012,7482,7526,7767,7113,7166,7081,7278,7571,7785,7662,8037,7861,7461,7402,6754,6440,6491,6570,6024,6711,6471,7144,6705,6174,5920,5588,5504,5517,4357,4493,3499,3299,3398,3274,3091,2825,1930,2106,1781,2080,1751,1352,1277,1080,927,762,626,521,440,328,266,165,148,111,68,39,32,72
"양천구","남자",209250,744,733,823,958,1019,1179,1392,1549,1761,1915,2098,2251,2571,2548,2600,2413,2480,2719,2289,2174,2230,2204,2070,2131,2447,2559,2567,2744,2730,2864,2854,2874,2782,2831,2603,2405,2333,2330,2350,2634,2632,3008,3285,3583,3585,3705,3402,3370,3486,3568,3755,3808,3818,4035,3865,3704,3621,3379,3133,3187,3181,2906,3302,3132,3386,3186,2865,2745,2600,2541,2581,2055,2108,1656,1600,1587,1524,1433,1315,834,916,780,911,761,534,469,390,318,243,188,149,109,76,51,29,29,29,15,12,3,14
"양천구","여자",220218,783,670,812,829,977,1022,1243,1535,1682,1924,2022,2100,2439,2291,2407,2204,2315,2429,2215,1987,2045,2031,1999,2177,2493,2656,2643,2776,2730,2847,2795,2768,2858,2827,2429,2408,2413,2416,2584,2799,2866,3309,3727,3899,3941,4062,3711,3796,3595,3710,3816,3977,3844,4002,3996,3757,3781,3375,3307,3304,3389,3118,3409,3339,3758,3519,3309,3175,2988,2963,2936,2302,2385,1843,1699,1811,1750,1658,1510,1096,1190,1001,1169,990,818,808,690,609,519,438,372,331,252,215,136,119,82,53,27,29,58
"강서구","합계",553987,2666,2194,2351,2483,2551,2806,2792,3012,3464,3842,3801,3763,4261,4166,4064,3788,4044,4512,4147,4008,4295,4765,4948,5806,7291,7985,8694,9635,10223,10618,11157,11095,11111,10870,9647,9019,8829,8147,8062,8096,7731,8454,8810,9227,8888,8894,7811,7817,7659,7872,8342,8651,8737,8743,8657,8305,8498,7431,7270,7589,7857,7262,8116,8312,9144,8777,8078,7876,7218,7228,7143,5640,5944,4667,4443,4570,4320,4215,3858,2839,2738,2478,2805,2383,2022,1747,1564,1211,1049,993,755,563,462,373,256,206,155,117,67,59,83
"강서구","남자",264967,1374,1140,1151,1269,1319,1457,1445,1522,1777,1980,1862,1987,2159,2147,2078,1957,2066,2321,2137,2052,2107,2305,2341,2538,3095,3364,3757,4186,4622,4930,5261,5422,5504,5368,4816,4623,4451,4131,4089,4134,3972,4313,4470,4671,4470,4484,3836,3871,3849,3810,4157,4278,4386,4340,4281,4070,4158,3559,3458,3488,3675,3407,3814,3836,4133,4097,3684,3574,3280,3226,3227,2561,2723,2120,2024,2089,2041,1919,1811,1286,1234,1073,1203,961,806,638,549,435,295,310,226,154,121,82,54,50,31,19,8,7,19
"강서구","여자",289020,1292,1054,1200,1214,1232,1349,1347,1490,1687,1862,1939,1776,2102,2019,1986,1831,1978,2191,2010,1956,2188,2460,2607,3268,4196,4621,4937,5449,5601,5688,5896,5673,5607,5502,4831,4396,4378,4016,3973,3962,3759,4141,4340,4556,4418,4410,3975,3946,3810,4062,4185,4373,4351,4403,4376,4235,4340,3872,3812,4101,4182,3855,4302,4476,5011,4680,4394,4302,3938,4002,3916,3079,3221,2547,2419,2481,2279,2296,2047,1553,1504,1405,1602,1422,1216,1109,1015,776,754,683,529,409,341,291,202,156,124,98,59,52,64
"구로구","합계",386518,2021,1798,1881,1833,1883,1973,2091,2164,2305,2609,2569,2558,2780,2681,2839,2624,2774,3031,2723,2769,2985,3139,3445,3855,4876,5210,5517,5993,6163,6531,6659,6538,6811,6638,6118,5974,5865,5494,5387,5298,5148,5662,5899,6040,6047,5919,5264,5349,5299,5341,5825,6201,6271,6412,6532,6216,6282,5782,5623,5802,5890,5471,5985,6026,6663,6226,5912,5588,5395,5393,5217,4382,4329,3720,3423,3739,3449,3382,3115,2282,2348,2133,2382,2081,1502,1388,1265,944,846,692,541,358,315,226,174,141,89,73,44,20,53
"구로구","남자",189161,1011,920,992,962,987,1022,1085,1101,1173,1344,1288,1319,1357,1339,1472,1361,1372,1522,1384,1453,1517,1565,1715,1880,2227,2384,2598,2800,2973,3240,3376,3310,3430,3321,3099,3080,3015,2877,2729,2791,2674,2941,3046,3125,3095,2988,2648,2722,2686,2651,2984,3096,3160,3237,3251,3086,2988,2826,2864,2865,2892,2675,2894,2946,3165,2843,2751,2613,2526,2419,2374,1965,1967,1719,1584,1721,1633,1550,1471,1002,1056,947,1050,911,631,568,507,352,307,250,162,108,87,51,44,33,27,14,6,4,12
"구로구","여자",197357,1010,878,889,871,896,951,1006,1063,1132,1265,1281,1239,1423,1342,1367,1263,1402,1509,1339,1316,1468,1574,1730,1975,2649,2826,2919,3193,3190,3291,3283,3228,3381,3317,3019,2894,2850,2617,2658,2507,2474,2721,2853,2915,2952,2931,2616,2627,2613,2690,2841,3105,3111,3175,3281,3130,3294,2956,2759,2937,2998,2796,3091,3080,3498,3383,3161,2975,2869,2974,2843,2417,2362,2001,1839,2018,1816,1832,1644,1280,1292,1186,1332,1170,871,820,758,592,539,442,379,250,228,175,130,108,62,59,38,16,41
"금천구","합계",224412,848,748,821,786,822,822,867,945,1000,1124,1064,1068,1226,1180,1248,1160,1198,1363,1391,1375,1502,1695,1839,2331,3135,3636,4160,4722,4891,5134,5258,4861,4850,4443,3777,3493,3385,3052,2830,2800,2626,2879,2891,3057,2908,2905,2562,2727,2640,2844,3030,3366,3493,3624,3772,3833,3828,3605,3625,3888,3883,3573,4003,3959,4251,4051,3661,3318,3087,3017,3071,2369,2402,2090,1870,2049,1883,1835,1773,1273,1323,1171,1420,1179,840,829,746,521,460,409,293,242,179,129,96,74,37,32,18,12,31
"금천구","남자",112655,444,344,419,391,413,435,428,488,527,559,534,560,641,592,622,597,595,701,711,671,714,834,910,997,1383,1662,1984,2255,2401,2679,2822,2619,2627,2486,2099,1943,1890,1671,1572,1528,1444,1592,1564,1652,1596,1566,1348,1449,1358,1418,1583,1741,1776,1889,1860,1925,1902,1740,1784,1964,1941,1787,2015,1992,2106,2040,1755,1640,1506,1474,1393,1106,1126,958,913,928,910,791,806,565,587,519,631,507,318,351,279,220,144,133,94,57,52,39,24,22,5,7,3,4,8
"금천구","여자",111757,404,404,402,395,409,387,439,457,473,565,530,508,585,588,626,563,603,662,680,704,788,861,929,1334,1752,1974,2176,2467,2490,2455,2436,2242,2223,1957,1678,1550,1495,1381,1258,1272,1182,1287,1327,1405,1312,1339,1214,1278,1282,1426,1447,1625,1717,1735,1912,1908,1926,1865,1841,1924,1942,1786,1988,1967,2145,2011,1906,1678,1581,1543,1678,1263,1276,1132,957,1121,973,1044,967,708,736,652,789,672,522,478,467,301,316,276,199,185,127,90,72,52,32,25,15,8,23
"영등포구","합계",373056,2105,1864,1947,1962,1847,1905,2047,2066,2188,2367,2320,2103,2240,2251,2237,2101,2189,2418,2269,2369,2554,3055,3159,3949,5171,6045,6797,7588,8089,8467,8699,8591,8748,8308,7284,6990,6665,6167,5871,5658,5502,5511,5804,5772,5410,5361,4712,4786,4859,4800,5053,5495,5529,5922,5829,5648,5756,5101,5101,5175,5177,4769,5257,5116,5519,5264,4924,4727,4234,4256,4303,3251,3562,2854,2816,2901,2795,2777,2586,1925,1957,1831,2148,1818,1377,1367,1147,981,833,728,528,441,321,234,163,115,87,72,38,18,63
"영등포구","남자",182470,1103,965,987,1010,960,965,1031,1058,1102,1207,1214,1118,1130,1136,1116,1102,1117,1284,1164,1227,1273,1498,1449,1661,2132,2510,2953,3347,3706,3997,4245,4287,4366,4220,3682,3551,3383,3170,3047,2915,2882,2889,3036,2952,2849,2706,2390,2409,2475,2392,2592,2716,2804,3010,2951,2843,2890,2520,2611,2675,2636,2439,2721,2491,2703,2531,2405,2307,2025,2057,2000,1518,1702,1341,1247,1316,1278,1251,1149,910,856,760,906,753,578,560,462,368,304,279,190,131,93,72,55,28,27,18,8,3,12
"영등포구","여자",190586,1002,899,960,952,887,940,1016,1008,1086,1160,1106,985,1110,1115,1121,999,1072,1134,1105,1142,1281,1557,1710,2288,3039,3535,3844,4241,4383,4470,4454,4304,4382,4088,3602,3439,3282,2997,2824,2743,2620,2622,2768,2820,2561,2655,2322,2377,2384,2408,2461,2779,2725,2912,2878,2805,2866,2581,2490,2500,2541,2330,2536,2625,2816,2733,2519,2420,2209,2199,2303,1733,1860,1513,1569,1585,1517,1526,1437,1015,1101,1071,1242,1065,799,807,685,613,529,449,338,310,228,162,108,87,60,54,30,15,51
"동작구","합계",375547,1690,1583,1525,1576,1635,1753,1855,1933,2152,2471,2454,2253,2415,2370,2607,2254,2401,2660,2878,3163,3753,4218,4715,5524,6602,6985,7368,7564,7615,7587,7570,7132,7135,6779,6055,5679,5465,5167,4998,4927,4863,5229,5459,5634,5390,5561,4848,4850,5068,5181,5488,5834,5894,6226,6119,6000,5956,5284,5143,5080,5241,4875,5219,5263,5635,5550,4939,4916,4427,4519,4371,3536,3774,3112,2916,3128,3008,3074,2979,2128,2190,1942,2309,2019,1500,1384,1253,968,907,693,569,421,323,224,183,160,112,67,50,25,65
"동작구","남자",181267,858,815,810,811,837,912,985,935,1059,1246,1250,1135,1263,1220,1357,1132,1250,1411,1434,1486,1750,1945,2259,2575,3098,3285,3605,3682,3700,3797,3890,3639,3671,3416,3076,2935,2825,2593,2466,2528,2505,2635,2746,2846,2792,2782,2429,2298,2566,2489,2743,2853,2836,3057,2979,2977,2886,2498,2538,2409,2504,2316,2514,2473,2571,2561,2282,2245,1985,2077,1967,1603,1680,1335,1253,1340,1277,1326,1262,892,917,876,1057,903,643,542,503,367,301,263,179,131,83,78,37,41,30,17,8,2,21
"동작구","여자",194280,832,768,715,765,798,841,870,998,1093,1225,1204,1118,1152,1150,1250,1122,1151,1249,1444,1677,2003,2273,2456,2949,3504,3700,3763,3882,3915,3790,3680,3493,3464,3363,2979,2744,2640,2574,2532,2399,2358,2594,2713,2788,2598,2779,2419,2552,2502,2692,2745,2981,3058,3169,3140,3023,3070,2786,2605,2671,2737,2559,2705,2790,3064,2989,2657,2671,2442,2442,2404,1933,2094,1777,1663,1788,1731,1748,1717,1236,1273,1066,1252,1116,857,842,750,601,606,430,390,290,240,146,146,119,82,50,42,23,44
"관악구","합계",479067,1430,1197,1252,1325,1266,1404,1403,1514,1811,2002,2024,1985,2177,2252,2261,2213,2327,2688,2987,3529,4245,5173,6146,7956,10908,12213,13464,14766,14686,14429,13817,12638,11869,10630,8954,7986,7191,6513,6194,5746,5469,6038,6138,6341,6253,6204,5477,5591,5524,5796,6138,6602,6746,6969,7019,6801,6661,6175,5891,6100,6160,5685,6265,6238,6804,6617,5944,5755,5275,5480,5464,4342,4516,4028,3826,3961,3809,3769,3554,2617,2710,2448,2947,2522,1849,1646,1440,1137,871,747,563,419,320,240,191,128,106,61,48,13,48
"관악구","남자",241013,696,596,606,665,642,724,754,818,926,1039,1068,1015,1082,1140,1144,1156,1220,1353,1479,1714,1938,2334,2761,3536,4860,5655,6357,7288,7614,7696,7588,7091,6586,6035,5067,4503,4055,3672,3425,3187,3021,3275,3347,3415,3422,3353,2933,2936,2930,3062,3217,3396,3538,3674,3648,3543,3332,3035,2988,3085,3087,2866,3069,3014,3154,3072,2825,2655,2410,2524,2416,1912,2035,1827,1735,1770,1641,1665,1537,1127,1185,1060,1364,1084,761,715,585,453,325,283,189,144,97,71,41,24,23,13,10,5,5
"관악구","여자",238054,734,601,646,660,624,680,649,696,885,963,956,970,1095,1112,1117,1057,1107,1335,1508,1815,2307,2839,3385,4420,6048,6558,7107,7478,7072,6733,6229,5547,5283,4595,3887,3483,3136,2841,2769,2559,2448,2763,2791,2926,2831,2851,2544,2655,2594,2734,2921,3206,3208,3295,3371,3258,3329,3140,2903,3015,3073,2819,3196,3224,3650,3545,3119,3100,2865,2956,3048,2430,2481,2201,2091,2191,2168,2104,2017,1490,1525,1388,1583,1438,1088,931,855,684,546,464,374,275,223,169,150,104,83,48,38,8,43
"서초구","합계",407958,1774,1749,1961,2274,2352,2512,3008,3189,3518,3989,4176,4233,4839,4613,4834,4534,4490,4707,4343,4045,4181,4200,3971,4157,4853,5010,5171,5472,5655,5856,5901,5845,5930,6042,5540,5381,5558,5382,5629,5648,5759,6616,6968,7600,7582,7796,6949,7154,7075,7159,7400,7598,7460,7469,7437,6942,6387,5727,5075,5172,5165,4869,4834,4946,5032,4946,4795,4728,4422,4392,4288,3711,3649,2890,2829,3067,2932,2918,2712,2039,1957,1795,1897,1669,1253,1147,975,824,767,602,513,377,311,222,177,127,118,73,45,34,64
"서초구","남자",193818,914,906,997,1176,1194,1326,1610,1625,1794,2004,2106,2189,2446,2366,2458,2261,2285,2351,2172,2008,2049,2076,1929,1940,2214,2262,2420,2594,2677,2759,2848,2819,2804,2810,2610,2526,2513,2351,2509,2545,2601,3025,3224,3486,3496,3539,3162,3306,3351,3389,3558,3644,3630,3694,3723,3522,3199,2809,2516,2516,2535,2334,2365,2278,2309,2218,2235,2216,1949,1992,1967,1632,1614,1319,1278,1377,1346,1283,1271,924,956,844,922,782,568,510,405,355,310,235,181,128,113,66,42,43,32,20,8,8,15
"서초구","여자",214140,860,843,964,1098,1158,1186,1398,1564,1724,1985,2070,2044,2393,2247,2376,2273,2205,2356,2171,2037,2132,2124,2042,2217,2639,2748,2751,2878,2978,3097,3053,3026,3126,3232,2930,2855,3045,3031,3120,3103,3158,3591,3744,4114,4086,4257,3787,3848,3724,3770,3842,3954,3830,3775,3714,3420,3188,2918,2559,2656,2630,2535,2469,2668,2723,2728,2560,2512,2473,2400,2321,2079,2035,1571,1551,1690,1586,1635,1441,1115,1001,951,975,887,685,637,570,469,457,367,332,249,198,156,135,84,86,53,37,26,49
"강남구","합계",557296,2447,2279,2300,2520,2764,3052,3611,4155,4627,5232,5707,6018,6986,6944,6948,6287,6445,6867,6026,5395,5547,5504,5001,5192,6579,6471,7058,7751,7907,8434,8615,8678,8801,8631,7974,7707,7714,7378,7697,7857,8007,9293,10004,10773,10783,11189,10251,10292,10289,9954,10149,10111,9963,9988,9672,9031,8350,7382,6534,6945,6772,6598,6358,6333,6687,6457,6151,6346,6076,5887,5977,5025,5297,3967,3891,4037,4038,3817,3758,2597,2670,2339,2315,2096,1657,1369,1307,1092,886,762,596,500,383,316,225,207,127,101,87,43,83
"강남구","남자",266325,1245,1169,1183,1273,1403,1605,1901,2147,2346,2623,2982,3203,3683,3657,3606,3286,3388,3558,3077,2808,2818,2778,2451,2483,3007,2932,3262,3427,3608,3936,4131,4208,4249,4094,3845,3592,3611,3358,3514,3527,3544,4140,4363,4806,4797,5125,4731,4825,4919,4823,4981,4933,4958,5116,4854,4650,4178,3629,3312,3459,3315,3195,3130,3052,3103,2938,2786,2868,2733,2582,2670,2209,2345,1803,1762,1761,1881,1775,1728,1250,1308,1090,1122,984,772,624,603,454,337,281,188,158,110,80,62,56,26,21,18,10,18
"강남구","여자",290971,1202,1110,1117,1247,1361,1447,1710,2008,2281,2609,2725,2815,3303,3287,3342,3001,3057,3309,2949,2587,2729,2726,2550,2709,3572,3539,3796,4324,4299,4498,4484,4470,4552,4537,4129,4115,4103,4020,4183,4330,4463,5153,5641,5967,5986,6064,5520,5467,5370,5131,5168,5178,5005,4872,4818,4381,4172,3753,3222,3486,3457,3403,3228,3281,3584,3519,3365,3478,3343,3305,3307,2816,2952,2164,2129,2276,2157,2042,2030,1347,1362,1249,1193,1112,885,745,704,638,549,481,408,342,273,236,163,151,101,80,69,33,65
"송파구","합계",647895,3100,2899,3172,3608,3772,3951,4383,4688,5363,5696,5610,5434,6070,5944,5909,5521,5469,5952,5464,5088,5505,5755,5631,6346,7811,8435,8895,9878,10386,11192,11248,11633,11491,11523,10395,10052,10180,9824,9704,9851,9738,10682,11399,11487,11344,11232,9847,9606,9446,9460,10022,10260,10304,10702,10767,10093,10138,9407,8672,9091,9141,8504,9290,9205,9919,9406,8722,8613,7913,8034,7947,6178,6437,4966,4729,4846,4529,4364,4128,2879,2893,2518,2791,2403,1800,1618,1341,1231,1032,918,741,600,454,345,233,207,169,115,77,39,95
