"자치구별(1)","자치구별(2)",구분별(1),구분별(2),2021,2022,2023
"합계","양천구",다문화가구원 (명),외국인(결혼이민자),1111,1090,1076
"합계","양천구",다문화가구원 (명),외국인(기타),265,250,275
"합계","강서구",다문화가구 (가구),소계,3863,3924,3976
"합계","강서구",다문화가구원 (명),소계,10469,10460,10590
"합계","강서구",다문화가구원 (명),내국인(출생),6086,6012,6156
"합계","강서구",다문화가구원 (명),내국인(귀화·인지),2273,2347,2401
"합계","강서구",다문화가구원 (명),외국인(결혼이민자),1692,1701,1644
"합계","강서구",다문화가구원 (명),외국인(기타),418,400,389
"합계","구로구",다문화가구 (가구),소계,7676,7798,7935
"합계","구로구",다문화가구원 (명),소계,18144,18320,18616
"합계","구로구",다문화가구원 (명),내국인(출생),6430,6528,6640
"합계","구로구",다문화가구원 (명),내국인(귀화·인지),7090,7282,7409
"합계","구로구",다문화가구원 (명),외국인(결혼이민자),2623,2778,2761
"합계","구로구",다문화가구원 (명),외국인(기타),2001,1732,1806
"합계","금천구",다문화가구 (가구),소계,4670,4704,4819
"합계","금천구",다문화가구원 (명),소계,10954,11034,11275
"합계","금천구",다문화가구원 (명),내국인(출생),4085,4181,4280
"합계","금천구",다문화가구원 (명),내국인(귀화·인지),4116,4125,4222
"합계","금천구",다문화가구원 (명),외국인(결혼이민자),1699,1766,1809
"합계","금천구",다문화가구원 (명),외국인(기타),1054,962,964
"합계","영등포구",다문화가구 (가구),소계,6569,6520,6545
"합계","영등포구",다문화가구원 (명),소계,15440,15185,15211
"합계","영등포구",다문화가구원 (명),내국인(출생),4886,4852,4983
"합계","영등포구",다문화가구원 (명),내국인(귀화·인지),5832,5824,5758
"합계","영등포구",다문화가구원 (명),외국인(결혼이민자),2367,2425,2354
"합계","영등포구",다문화가구원 (명),외국인(기타),2355,2084,2116
"합계","동작구",다문화가구 (가구),소계,2522,2581,2618
"합계","동작구",다문화가구원 (명),소계,6315,6362,6425
"합계","동작구",다문화가구원 (명),내국인(출생),3393,3389,3515
"합계","동작구",다문화가구원 (명),내국인(귀화·인지),1675,1697,1713
"합계","동작구",다문화가구원 (명),외국인(결혼이민자),979,1005,980
"합계","동작구",다문화가구원 (명),외국인(기타),268,271,217
