ACPT_YM,PLCST_NM,RPRT_CASCNT_WHOL,RPRT_SEX_MALE,RPRT_SEX_FMLE,RPRT_SEX_UNKWN,RPRT_SEX_ETC,ACPT_EMERG_TYPE_EMERG,ACPT_EMERG_TYPE_IMPRTNC,ACPT_EMERG_TYPE_GNRL,ACPT_EMERG_TYPE_CVAPP,ACPT_EMERG_TYPE_ETC,OCRN_DOTW_SNDD,OCRN_DOTW_MON,OCRN_DOTW_TUE,OCRN_DOTW_WED,OCRN_DOTW_THU,OCRN_DOTW_FRI,OCRN_DOTW_SAT,OCRN_TIZN_00,OCRN_TIZN_01,OCRN_TIZN_02,OCRN_TIZN_03,OCRN_TIZN_04,OCRN_TIZN_05,OCRN_TIZN_06,OCRN_TIZN_07,OCRN_TIZN_08,OCRN_TIZN_09,OCRN_TIZN_10,OCRN_TIZN_11,OCRN_TIZN_12,OCRN_TIZN_13,OCRN_TIZN_14,OCRN_TIZN_15,OCRN_TIZN_16,OCRN_TIZN_17,OCRN_TIZN_18,OCRN_TIZN_19,OCRN_TIZN_20,OCRN_TIZN_21,OCRN_TIZN_22,OCRN_TIZN_23
"202304","서울성동","40","27","7","6","0","0","3","37","0","0","6","6","2","6","6","7","7","4","1","1","0","2","0","0","0","0","1","0","0","1","1","1","2","2","3","0","3","3","3","5","7"
"202304","횡성","5","3","2","0","0","0","0","5","0","0","1","1","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","0"
"202304","울산동부","40","20","12","8","0","0","1","34","4","1","8","4","4","2","6","8","8","1","0","2","0","0","1","0","0","2","0","0","1","0","0","1","3","3","2","5","1","4","3","5","6"
"202304","서울중부","19","15","3","1","0","0","0","19","0","0","0","4","5","4","4","1","1","1","0","1","0","0","0","0","0","0","2","0","1","0","0","2","1","7","1","2","0","0","0","0","1"
"202304","서울혜화","3","1","1","1","0","0","1","2","0","0","0","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0"
"202304","대구동부","54","23","13","18","0","0","1","48","4","1","8","6","4","5","8","12","11","4","2","1","0","0","0","0","0","1","0","0","0","1","1","5","2","7","4","5","2","4","7","3","5"
"202304","제천","21","11","4","6","0","0","3","18","0","0","0","7","1","2","4","1","6","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","1","3","2","2","3","4","0"
"202304","부산동래","74","45","12","17","0","0","3","68","2","1","10","11","5","7","23","9","9","1","0","3","0","0","0","0","0","0","0","0","0","0","1","3","7","9","15","8","3","5","6","9","4"
"202304","서귀포","4","3","1","0","0","0","0","4","0","0","1","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1"
"202304","대구달성","22","14","4","4","0","0","0","19","2","1","3","3","1","3","3","6","3","0","1","0","0","0","0","0","0","0","0","0","2","0","0","1","3","2","6","5","0","2","0","0","0"
